barcode,gene_name,gene_description,1h_vs_0h,2h_vs_0h,4h_vs_0h,6h_vs_0h,8h_vs_0h,10h_vs_0h,12h_vs_0h,16h_vs_0h,24h_vs_0h,48h_vs_0h
WBGene00021977,Y58A7A.3,Y58A7A.3,1.93459755434157,2.98720501363986,1.56619118552392,1.5720835583696002,0.8464976074456779,0.749103497148568,0.629881467717201,0.845941886067776,0.126196944102392,-0.73763167312966
WBGene00021978,Y58A7A.4,Y58A7A.4,4.49984579555996,5.35480017092831,4.2900186982270805,4.423115739248621,3.7210990728762,3.71596169921237,3.81858168978159,3.21188818018143,1.99435346137756,-0.7520719457097109
WBGene00017467,F14F9.4,F14F9.4,2.64584870065448,3.62960118508865,1.47808389870797,1.14164077381899,0.433434203485649,0.436594552039462,0.5004045399915961,0.205406220453508,-0.4202688375569421,-0.492565222196439
WBGene00021979,Y58A7A.5,Y58A7A.5,2.5451905690058703,4.1089657814702205,2.64152830979764,2.65213967209446,1.7562202214573002,1.46270057438626,1.61961815794911,2.22278806045651,1.92103589937565,-0.7583528523189591
WBGene00008602,oac-14,oac-14,2.08280034416279,3.8742200776143,3.63324972266723,3.60080372196484,2.41160955109556,1.93748774239103,1.92951997151526,2.44508305612088,2.15838093281919,-1.9818524559456
WBGene00004052,parg-2,parg-2,3.0409302699825496,3.73903988281844,2.630928368842,2.1962085329324696,0.973816204190058,0.52491534233015,0.98434689836894,1.24738131543918,0.30732386400704803,-0.141660834709512
WBGene00004000,pgp-6,pgp-6,2.7319649465717704,3.6326304820039295,1.61379273550918,1.4716331358845902,0.6768234756566259,0.6721318024131961,0.897876985717134,1.28142889404143,0.35645589859360904,0.167149155270032
WBGene00012923,fbxa-128,fbxa-128,2.57914911118234,3.607350149673661,1.93371443539275,1.43138286530108,0.7190631255632091,0.700142260814355,0.504092170328133,0.744680658269902,0.11517977491149,-0.007756304618760671
WBGene00008486,ugt-44,ugt-44,-1.9337762163047,-0.37473637301508894,-0.37448244520129503,0.12290092504860198,0.0306185983220268,-0.0288823769312232,-0.13306425072121306,0.516237149394661,0.282939472750388,-0.322123785432236
WBGene00019232,ugt-13,ugt-13,1.62167857720909,2.28182213980305,2.02401308695734,2.4047002386542595,1.74344200005949,1.88498778118402,2.0360568497329,1.77089420002323,1.75114550099866,0.567446574555543
WBGene00018966,F56D2.5,F56D2.5,1.9761361562223203,3.00692929298653,1.50383146798195,1.45812144395277,0.807648998682922,0.980314932280698,1.06045708488806,0.6181918543166801,0.337892364207072,-0.4420432288050921
WBGene00007962,C35D6.5,C35D6.5,3.10649958763709,3.93302419507595,2.63451826373502,1.24547616858654,-0.668793587516995,-0.784270739041007,-1.4947638826526202,-1.6322672550526598,-0.8249127077067171,-0.8667328101065409
WBGene00015695,ugt-26,ugt-26,1.60513910966443,2.02477477217776,0.141332844791519,-0.225284006957774,-0.6671356468614661,-0.6201999386578539,-0.5687320038298149,-0.651168870616106,-0.7841428040459258,-1.00578914980121
WBGene00000373,cyp-14A5,cyp-14A5,1.93050114595317,2.1874317927433498,1.51048438890547,1.49948327463202,1.03167417971644,0.8130624127184799,1.0083821234098902,1.17294657506959,0.466546863198151,0.7116050595688079
WBGene00008726,F13A7.11,F13A7.11,1.4216454616908702,3.6395504724139,2.4748997742232,2.89279370166625,1.8438700815525504,1.70032351595429,1.6510443129211203,2.11069499729711,1.01954728278616,-1.11169737599889
WBGene00008476,E03H4.8,E03H4.8,1.48257914175353,2.22624381070919,0.6410921410169631,0.379192445262258,-0.187848153597475,-0.20406978231925305,-0.29453073356890896,-0.0688852866462991,-0.6833921294929561,-0.7150061834787929
WBGene00012101,zip-10,zip-10,2.10374796859867,3.87144593416481,3.5036165399187897,3.7478395891665297,2.7670228481567096,2.6275659325051497,2.8864988176920803,3.52356189850788,3.82665988559334,0.839535528944096
