barcode,gene_name,1h_vs_0h,2h_vs_0h,4h_vs_0h,6h_vs_0h,8h_vs_0h,10h_vs_0h,12h_vs_0h,16h_vs_0h,24h_vs_0h,48h_vs_0h,go_category,go_description,tsne_0,tsne_1
WBGene00021977,Y58A7A.3,0.6209123471463481,0.6867003133524913,0.597886949095245,0.5982552223981,0.5529061004653548,0.5468189685717855,0.5393675917323251,0.552871367879236,0.5078873090063994,0.4538980204293962,not labeled,not labeled,47.02944,34.833725
WBGene00021978,Y58A7A.4,0.7812403622224975,0.8346750106830194,0.7681261686391925,0.7764447337030388,0.7325686920547625,0.7322476062007731,0.7386613556113494,0.7007430112613393,0.6246470913360975,0.4529955033931431,not labeled,not labeled,57.581116,41.327236
WBGene00017467,F14F9.4,0.6653655437909051,0.7268500740680406,0.5923802436692481,0.5713525483636869,0.5270896377178531,0.5272871595024664,0.5312752837494747,0.5128378887783442,0.4737331976526911,0.4692146736127226,not labeled,not labeled,46.67631,35.38302
WBGene00021979,Y58A7A.5,0.6590744105628669,0.7568103613418888,0.6650955193623524,0.6657587295059038,0.6097637638410812,0.5914187858991412,0.6012261348718194,0.6389242537785319,0.6200647437109781,0.45260294673006496,not labeled,not labeled,50.624157,36.839657
WBGene00008602,oac-14,0.6301750215101743,0.7421387548508938,0.7270781076667019,0.7250502326228025,0.6507255969434725,0.6210929838994393,0.6205949982197038,0.6528176910075549,0.6348988083011994,0.37613422150340003,MF,"transferase activity, transferring acyl groups",50.914925,37.022694
WBGene00004052,parg-2,0.6900581418739093,0.7336899926761525,0.664433023052625,0.6372630333082794,0.5608635127618786,0.5328072088956344,0.5615216811480588,0.5779613322149487,0.5192077415004405,0.4911461978306555,BP,response to stress,48.212433,35.89115
WBGene00004000,pgp-6,0.6707478091607356,0.7270394051252456,0.6008620459693237,0.5919770709927868,0.5423014672285391,0.5420082376508247,0.5561173116073209,0.5800893058775893,0.5222784936621006,0.510446822204377,MF,ion binding,47.4327,35.59554
WBGene00012923,fbxa-128,0.6611968194488962,0.7254593843546038,0.6208571522120468,0.5894614290813175,0.5449414453477006,0.5437588913008972,0.5315057606455084,0.5465425411418688,0.5071987359319681,0.4995152309613274,not labeled,not labeled,47.20316,35.4947
WBGene00008486,ugt-44,0.3791389864809562,0.476578976686557,0.4765948471749191,0.5076813078155377,0.5019136623951267,0.4981948514417986,0.4916834843299242,0.5322648218371663,0.5176837170468993,0.4798672634104853,BP,immune system process,-22.276447,-9.546967
WBGene00019232,ugt-13,0.6013549110755682,0.6426138837376907,0.6265008179348337,0.6502937649158912,0.6089651250037181,0.6178117363240012,0.6272535531083062,0.6106808875014519,0.6094465938124163,0.5354654109097214,MF,"transferase activity, transferring glycosyl groups",58.108414,36.846428
WBGene00018966,F56D2.5,0.623508509763895,0.6879330808116582,0.5939894667488719,0.5911325902470481,0.5504780624176826,0.5612696832675437,0.5662785678055038,0.5386369908947926,0.521118272762942,0.4723722981996818,BP,immune system process,47.21895,34.914566
WBGene00007962,C35D6.5,0.6941562242273182,0.7458140121922469,0.6646573914834387,0.5778422605366588,0.4582004007801878,0.450983078809937,0.4065772573342112,0.3979832965592088,0.44844295576833015,0.4458291993683412,not labeled,not labeled,-12.382247,25.803358
