barcode,gene_name,1h_vs_0h,2h_vs_0h,4h_vs_0h,6h_vs_0h,8h_vs_0h,10h_vs_0h,12h_vs_0h,16h_vs_0h,24h_vs_0h,48h_vs_0h,go_category,go_description,cluster_lvl1,tsne_0,tsne_1
WBGene00021977,Y58A7A.3,1.93459755434157,2.98720501363986,1.5661911855239197,1.5720835583696005,0.8464976074456771,0.7491034971485675,0.6298814677172011,0.8459418860677754,0.12619694410239113,-0.7376316731296608,not labeled,not labeled,13,47.02944,34.833725
WBGene00021978,Y58A7A.4,4.49984579555996,5.3548001709283115,4.2900186982270805,4.423115739248621,3.7210990728762,3.71596169921237,3.81858168978159,3.211888180181429,1.9943534613775604,-0.7520719457097105,not labeled,not labeled,13,57.581116,41.327236
WBGene00017467,F14F9.4,2.645848700654481,3.62960118508865,1.47808389870797,1.14164077381899,0.43343420348564976,0.4365945520394625,0.5004045399915961,0.20540622045350787,-0.4202688375569421,-0.4925652221964381,not labeled,not labeled,13,46.67631,35.38302
WBGene00021979,Y58A7A.5,2.5451905690058703,4.108965781470221,2.641528309797639,2.6521396720944597,1.7562202214572995,1.4627005743862591,1.619618157949111,2.2227880604565105,1.9210358993756491,-0.7583528523189598,not labeled,not labeled,13,50.624157,36.839657
WBGene00008602,oac-14,2.0828003441627896,3.8742200776142997,3.6332497226672302,3.6008037219648408,2.4116095510955606,1.9374877423910293,1.92951997151526,2.445083056120879,2.15838093281919,-1.9818524559456003,MF,"transferase activity, transferring acyl groups",13,50.914925,37.022694
WBGene00004052,parg-2,3.0409302699825496,3.739039882818441,2.6309283688419995,2.1962085329324696,0.973816204190058,0.52491534233015,0.9843468983689404,1.2473813154391795,0.3073238640070475,-0.14166083470951207,BP,response to stress,13,48.212433,35.89115
WBGene00004000,pgp-6,2.7319649465717704,3.6326304820039286,1.613792735509179,1.4716331358845895,0.6768234756566258,0.6721318024131957,0.8978769857171347,1.2814288940414291,0.3564558985936088,0.1671491552700317,MF,ion binding,13,47.4327,35.59554
WBGene00012923,fbxa-128,2.579149111182339,3.607350149673661,1.9337144353927496,1.4313828653010798,0.7190631255632098,0.7001422608143546,0.5040921703281338,0.7446806582699015,0.11517977491148912,-0.007756304618761868,not labeled,not labeled,13,47.20316,35.4947
WBGene00008486,ugt-44,-1.9337762163047008,-0.3747363730150877,-0.374482445201294,0.12290092504860263,0.03061859832202707,-0.02888237693122253,-0.13306425072121275,0.5162371493946605,0.2829394727503889,-0.3221237854322352,BP,immune system process,5,-22.276447,-9.546967
WBGene00019232,ugt-13,1.6216785772090905,2.281822139803051,2.024013086957339,2.404700238654259,1.74344200005949,1.8849877811840197,2.0360568497328995,1.7708942000232302,1.7511455009986605,0.567446574555543,MF,"transferase activity, transferring glycosyl groups",13,58.108414,36.846428
WBGene00018966,F56D2.5,1.9761361562223207,3.0069292929865306,1.50383146798195,1.45812144395277,0.8076489986829216,0.9803149322806988,1.0604570848880606,0.6181918543166809,0.3378923642070717,-0.4420432288050913,BP,immune system process,13,47.21895,34.914566
WBGene00007962,C35D6.5,3.1064995876370904,3.9330241950759497,2.6345182637350195,1.2454761685865403,-0.668793587516995,-0.7842707390410082,-1.494763882652621,-1.6322672550526596,-0.8249127077067175,-0.8667328101065408,not labeled,not labeled,26,-12.382247,25.803358
WBGene00015695,ugt-26,1.60513910966443,2.024774772177759,0.14133284479151875,-0.22528400695777415,-0.6671356468614658,-0.6201999386578539,-0.5687320038298163,-0.6511688706161056,-0.7841428040459258,-1.0057891498012097,MF,"transferase activity, transferring glycosyl groups",26,-13.173075,24.090372
WBGene00000373,cyp-14A5,1.930501145953169,2.1874317927433498,1.5104843889054695,1.49948327463202,1.0316741797164397,0.8130624127184802,1.0083821234098895,1.1729465750695898,0.4665468631981504,0.7116050595688073,MF,ion binding,13,48.891407,34.480778
WBGene00008726,F13A7.11,1.4216454616908702,3.6395504724139,2.474899774223198,2.8927937016662497,1.8438700815525504,1.70032351595429,1.651044312921119,2.1106949972971094,1.01954728278616,-1.1116973759988902,BP,immune system process,13,50.61858,36.73993
WBGene00008476,E03H4.8,1.4825791417535292,2.22624381070919,0.6410921410169639,0.3791924452622588,-0.18784815359747495,-0.20406978231925432,-0.2945307335689087,-0.06888528664629945,-0.6833921294929564,-0.7150061834787937,not labeled,not labeled,26,-12.000544,23.613873
WBGene00012101,zip-10,2.10374796859867,3.871445934164811,3.5036165399187897,3.7478395891665297,2.7670228481567096,2.627565932505149,2.8864988176920785,3.5235618985078805,3.82665988559334,0.8395355289440953,BP,immune system process,13,59.22335,40.98554
WBGene00021601,Y46H3A.5,3.1415245095304094,4.45828050145108,3.8553601697018696,3.4031240474836815,1.7216988869094791,0.9484698509846509,0.9872890937966688,2.1096245005997503,0.3959289790142737,-0.4753374653482334,BP,lipid metabolic process,13,49.51381,36.53044000000001
WBGene00003648,nhr-58,1.5949614697423409,1.9513499309431699,0.4204027845972576,0.0589798547104845,-0.5541184598819759,-0.5925072746153841,-0.5259826495485811,-0.2764265694248751,-0.8471369904718191,-1.0282250211498098,MF,ion binding,26,-13.025085,24.034313
WBGene00009230,oac-18,3.5913064770426697,5.2365658548339,3.6576617951581913,3.0660891159747194,0.11334209203965885,-0.8802602849902552,-0.986193476827398,-1.11547648668913,-2.6129758821083504,-2.94555123615152,not labeled,not labeled,26,-12.401488,26.179783
WBGene00021709,ugt-29,1.2949810260945611,1.8965469246292892,0.6553638737743661,0.5562728019094827,0.17686340242096674,0.1791964938703181,0.08386513169926603,0.17952949404250165,-0.0343423063340591,-0.2929041702333137,MF,"transferase activity, transferring glycosyl groups",26,-10.17432,22.562674
WBGene00002026,hsp-70,2.162702524890321,3.7851860850762105,4.839699147669709,6.03305155782162,6.21938595155226,6.524618298624409,6.716173756258099,7.254683310906419,7.9441270999639,5.06269797699157,BP,response to stress,13,60.618366,44.199917
WBGene00000562,cng-1,1.6643521750132209,2.170343531952589,0.9848535520637808,0.7452290307508846,-0.23247228654031016,-0.24135041804977145,-0.2148782346601044,-0.003771598385528208,-0.42132908905312494,-0.038168591086387586,MF,ion binding,26,-11.247592,23.851408
WBGene00007366,C06B3.7,1.6103776914940493,3.0174154162383804,1.5671902386847307,1.691470771002891,1.1492656577326894,1.1157402929783995,0.9706444664795536,1.38480949642676,0.6925291192477587,-2.2133042497966993,not labeled,not labeled,13,46.958214,33.618507
WBGene00009642,F42G4.5,-1.3819165335896004,-1.2605464207433297,-1.6432109143391394,-1.4212249908875003,-1.5513469887486382,-1.6271755163253108,-1.7741844923878702,-1.1587328169934707,-1.6384760951456805,-2.0873108497971806,not labeled,not labeled,12,-30.986883,56.732864
WBGene00021464,ugt-31,1.6139533365527896,2.24872215859061,0.3792506815244696,0.2798658222255028,0.12358509010754835,0.16702441533543855,-0.04886215315865439,0.09431020389849287,-0.1920567824833652,-0.2977661990198284,MF,"transferase activity, transferring glycosyl groups",26,-10.872128,23.156733
WBGene00008205,sams-1,-1.2714331454107601,-1.4538847672318609,-1.1766558725523302,-0.8222355149673639,-0.4413960436358204,-0.3050676585218461,-0.21599038690005745,-0.38576915209470375,-0.0403483976533856,0.08069168925353054,MF,ion binding,32,-57.19931,25.6651
